order_id,customer_id,order_date,order_time,location,base_item,protein,dip_1,dip_2,topping_1,topping_2,topping_3,dressing,meal_format,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,price,rating,delivery_platform,order_type,order_datetime,order_hour,day_of_week,meal_time,high_sodium
1001,C001,2024-01-08,12:34,DC - Logan Circle,Saffron Basmati Rice,Grilled Chicken,Hummus,Tzatziki,Tomato + Cucumber,Pickled Onions,,Lemon Herb Tahini,Bowl,620.0,47,71,15,4,1810,14.5,5.0,In-Store,dine-in,2024-01-08 12:34:00,12,Monday,Lunch,False
1002,C002,2024-01-08,13:05,DC - Logan Circle,SuperGreens,Falafel,Hummus,Crazy Feta,Cabbage Slaw,Pickled Onions,Avocado,Lemon Herb Tahini,Bowl,710.0,18,55,48,16,1430,15.25,4.0,In-Store,dine-in,2024-01-08 13:05:00,13,Monday,Lunch,False
1003,C003,2024-01-09,11:50,MD - Bethesda,Brown Rice,Braised Lamb,Red Pepper Hummus,,Persian Cucumber,Tomato + Cucumber,Feta,Greek Vinaigrette,Bowl,810.0,38,62,38,9,1980,16.0,5.0,In-Store,dine-in,2024-01-09 11:50:00,11,Tuesday,Lunch,False
1004,C004,2024-01-09,18:22,VA - Arlington,Saffron Basmati Rice,Harissa Honey Chicken,Harissa,Tzatziki,Corn,Pickled Onions,Broccoli,Garlic Dressing,Bowl,850.0,36,82,32,5,1940,14.75,4.0,Uber Eats,delivery,2024-01-09 18:22:00,18,Tuesday,Dinner,False
1005,C005,2024-01-10,12:15,DC - Capitol Hill,Pita,Grilled Chicken,Hummus,,Tomato + Cucumber,Cabbage Slaw,,Lemon Herb Tahini,Pita,870.0,48,69,45,12,2560,13.5,4.0,In-Store,dine-in,2024-01-10 12:15:00,12,Wednesday,Lunch,True
1006,C006,2024-01-10,13:30,DC - Logan Circle,Black Lentils,Spicy Lamb,Crazy Feta,Harissa,Pickled Onions,Avocado,,Skhug,Bowl,820.0,43,49,52,17,1780,15.75,3.0,In-Store,dine-in,2024-01-10 13:30:00,13,Wednesday,Lunch,False
1007,C002,2024-01-12,12:00,DC - Logan Circle,SuperGreens,Falafel,Hummus,Crazy Feta,Cabbage Slaw,Pickled Onions,Avocado,Lemon Herb Tahini,Bowl,710.0,18,55,48,16,1430,15.25,5.0,In-Store,dine-in,2024-01-12 12:00:00,12,Friday,Lunch,False
1008,C007,2024-01-12,19:45,MD - Bethesda,Saffron Basmati Rice,Grilled Steak,Harissa,Red Pepper Hummus,Tomato + Cucumber,Corn,Feta,Garlic Dressing,Bowl,910.0,42,75,42,6,2100,16.5,4.0,DoorDash,delivery,2024-01-12 19:45:00,19,Friday,Dinner,True
1009,C008,2024-01-13,12:30,VA - Arlington,Brown Rice,Grilled Chicken,Tzatziki,,Persian Cucumber,Pickled Onions,,Lemon Herb Tahini,Bowl,680.0,44,68,18,7,1650,14.5,5.0,In-Store,dine-in,2024-01-13 12:30:00,12,Saturday,Lunch,False
1010,C009,2024-01-13,13:15,DC - Capitol Hill,Pita,Falafel,Hummus,Crazy Feta,Cabbage Slaw,Pickled Onions,Avocado,Green Goddess Ranch,Pita,960.0,22,88,56,18,2210,14.25,2.0,In-Store,dine-in,2024-01-13 13:15:00,13,Saturday,Lunch,True
1011,C010,2024-01-14,12:45,DC - Logan Circle,Black Lentils,Grilled Chicken,Hummus,,Tomato + Cucumber,Persian Cucumber,Broccoli,Lemon Herb Tahini,Bowl,590.0,47,57,15,17,1560,14.75,5.0,In-Store,dine-in,2024-01-14 12:45:00,12,Sunday,Lunch,False
1012,C011,2024-01-14,18:00,MD - Bethesda,Saffron Basmati Rice,Harissa Honey Chicken,Harissa,,Corn,Pickled Onions,,Garlic Dressing,Bowl,880.0,34,80,34,4,1920,14.75,4.0,Uber Eats,delivery,2024-01-14 18:00:00,18,Sunday,Dinner,False
1013,C012,2024-01-15,11:30,VA - Arlington,SuperGreens,Grilled Steak,Crazy Feta,Hummus,Feta,Pickled Onions,Tomato + Cucumber,Greek Vinaigrette,Bowl,640.0,40,22,39,8,1740,15.25,5.0,In-Store,dine-in,2024-01-15 11:30:00,11,Monday,Lunch,False
1014,C013,2024-01-15,12:15,DC - Capitol Hill,Pita,Braised Lamb,Harissa,Tzatziki,Persian Cucumber,Cabbage Slaw,,Skhug,Pita,940.0,35,71,48,10,2350,15.5,4.0,In-Store,dine-in,2024-01-15 12:15:00,12,Monday,Lunch,True
1015,C001,2024-01-16,13:00,DC - Logan Circle,Saffron Basmati Rice,Grilled Chicken,Hummus,Tzatziki,Tomato + Cucumber,Pickled Onions,,Lemon Herb Tahini,Bowl,620.0,47,71,15,4,1810,14.5,5.0,In-Store,dine-in,2024-01-16 13:00:00,13,Tuesday,Lunch,False
1016,C014,2024-01-16,12:30,MD - Bethesda,Brown Rice,Grilled Chicken,Hummus,,Tomato + Cucumber,Persian Cucumber,Broccoli,Lemon Herb Tahini,Bowl,680.0,44,68,18,7,1650,14.5,3.0,In-Store,dine-in,2024-01-16 12:30:00,12,Tuesday,Lunch,False
1017,C015,2024-01-17,19:15,VA - Arlington,Black Lentils,Spicy Lamb,Crazy Feta,,Avocado,Pickled Onions,,Skhug,Bowl,780.0,38,44,48,15,1590,15.75,5.0,DoorDash,delivery,2024-01-17 19:15:00,19,Wednesday,Dinner,False
1018,C016,2024-01-17,12:00,DC - Capitol Hill,SuperGreens,Falafel,Hummus,Red Pepper Hummus,Cabbage Slaw,Corn,,Green Goddess Ranch,Bowl,560.0,16,48,32,14,1320,14.25,4.0,In-Store,dine-in,2024-01-17 12:00:00,12,Wednesday,Lunch,False
1019,C017,2024-01-18,13:30,DC - Logan Circle,Saffron Basmati Rice,Harissa Honey Chicken,Harissa,Tzatziki,Corn,Pickled Onions,Feta,Garlic Dressing,Bowl,900.0,36,86,38,5,2050,14.75,4.0,Uber Eats,delivery,2024-01-18 13:30:00,13,Thursday,Lunch,True
1020,C018,2024-01-18,12:15,MD - Bethesda,Pita,Grilled Steak,Harissa,Hummus,Tomato + Cucumber,Feta,,Greek Vinaigrette,Pita,820.0,44,68,42,9,1800,15.5,5.0,In-Store,dine-in,2024-01-18 12:15:00,12,Thursday,Lunch,False
1021,C019,2024-01-19,11:45,VA - Arlington,Brown Rice,Braised Lamb,Crazy Feta,Tzatziki,Pickled Onions,Persian Cucumber,Broccoli,Skhug,Bowl,850.0,38,64,44,9,2020,16.0,4.0,In-Store,dine-in,2024-01-19 11:45:00,11,Friday,Lunch,True
1022,C020,2024-01-19,18:30,DC - Capitol Hill,SuperGreens,Grilled Chicken,Hummus,,Tomato + Cucumber,Cabbage Slaw,,Lemon Herb Tahini,Bowl,490.0,38,24,22,8,1340,13.75,4.0,In-Store,dine-in,2024-01-19 18:30:00,18,Friday,Dinner,False
1023,C003,2024-01-20,12:45,MD - Bethesda,Brown Rice,Braised Lamb,Red Pepper Hummus,,Persian Cucumber,Tomato + Cucumber,Feta,Greek Vinaigrette,Bowl,810.0,38,62,38,9,1980,16.0,5.0,In-Store,dine-in,2024-01-20 12:45:00,12,Saturday,Lunch,False
1024,C021,2024-01-20,13:00,DC - Logan Circle,Black Lentils,Grilled Chicken,Hummus,Tzatziki,Tomato + Cucumber,Broccoli,,Lemon Herb Tahini,Bowl,560.0,48,55,14,17,1520,14.75,5.0,In-Store,dine-in,2024-01-20 13:00:00,13,Saturday,Lunch,False
1025,C022,2024-01-21,12:30,VA - Arlington,Pita,Harissa Honey Chicken,Harissa,,Corn,Pickled Onions,Feta,Garlic Dressing,Pita,896.0,40,85,44,7,2490,14.25,1.0,In-Store,dine-in,2024-01-21 12:30:00,12,Sunday,Lunch,True
1026,C023,2024-01-21,19:00,DC - Capitol Hill,Saffron Basmati Rice,Falafel,Hummus,Crazy Feta,Cabbage Slaw,Avocado,,Green Goddess Ranch,Bowl,760.0,20,72,42,12,1680,14.25,3.0,Uber Eats,delivery,2024-01-21 19:00:00,19,Sunday,Dinner,False
1027,C024,2024-01-22,12:15,DC - Logan Circle,Brown Rice,Grilled Steak,Harissa,Red Pepper Hummus,Feta,Corn,,Garlic Dressing,Bowl,940.0,42,76,44,7,2160,15.75,4.0,In-Store,dine-in,2024-01-22 12:15:00,12,Monday,Lunch,True
1028,C025,2024-01-22,13:30,MD - Bethesda,SuperGreens,Braised Lamb,Tzatziki,,Pickled Onions,Persian Cucumber,,Skhug,Bowl,520.0,32,18,34,6,1450,15.25,4.0,In-Store,dine-in,2024-01-22 13:30:00,13,Monday,Lunch,False
1029,C026,2024-01-23,11:30,VA - Arlington,Black Lentils,Grilled Chicken,Hummus,,Tomato + Cucumber,Pickled Onions,Avocado,Lemon Herb Tahini,Bowl,680.0,44,60,26,18,1640,15.25,5.0,In-Store,dine-in,2024-01-23 11:30:00,11,Tuesday,Lunch,False
1030,C002,2024-01-23,12:45,DC - Logan Circle,SuperGreens,Falafel,Hummus,Crazy Feta,Cabbage Slaw,Pickled Onions,Avocado,Lemon Herb Tahini,Bowl,710.0,18,55,48,16,1430,15.25,4.0,In-Store,dine-in,2024-01-23 12:45:00,12,Tuesday,Lunch,False
1031,C027,2024-01-24,18:15,DC - Capitol Hill,Saffron Basmati Rice,Harissa Honey Chicken,Harissa,Tzatziki,Corn,Pickled Onions,,Garlic Dressing,Bowl,744.0,34,80,32,5,1980,14.75,4.0,DoorDash,delivery,2024-01-24 18:15:00,18,Wednesday,Dinner,False
1032,C028,2024-01-24,12:00,MD - Bethesda,Pita,Grilled Chicken,Hummus,,Tomato + Cucumber,Cabbage Slaw,,Lemon Herb Tahini,Pita,870.0,48,69,45,12,2560,13.5,5.0,In-Store,dine-in,2024-01-24 12:00:00,12,Wednesday,Lunch,True
1033,C029,2024-01-25,13:15,VA - Arlington,Brown Rice,Braised Lamb,Crazy Feta,Harissa,Avocado,Persian Cucumber,,Skhug,Bowl,900.0,38,64,50,10,2080,16.0,3.0,In-Store,dine-in,2024-01-25 13:15:00,13,Thursday,Lunch,True
1034,C030,2024-01-25,12:30,DC - Logan Circle,Black Lentils,Grilled Steak,Hummus,Tzatziki,Tomato + Cucumber,Feta,Corn,Greek Vinaigrette,Bowl,720.0,44,54,32,16,1820,15.75,5.0,In-Store,dine-in,2024-01-25 12:30:00,12,Thursday,Lunch,False
1035,C031,2024-01-26,11:45,DC - Capitol Hill,SuperGreens,Falafel,Red Pepper Hummus,,Cabbage Slaw,Pickled Onions,,Green Goddess Ranch,Bowl,520.0,18,42,30,14,1280,13.75,4.0,In-Store,dine-in,2024-01-26 11:45:00,11,Friday,Lunch,False
1036,C032,2024-01-26,19:30,MD - Bethesda,Saffron Basmati Rice,Grilled Chicken,Hummus,Crazy Feta,Tomato + Cucumber,Corn,Broccoli,Lemon Herb Tahini,Bowl,700.0,46,78,20,5,1890,14.5,5.0,Uber Eats,delivery,2024-01-26 19:30:00,19,Friday,Dinner,False
1037,C001,2024-01-27,12:00,DC - Logan Circle,Saffron Basmati Rice,Grilled Chicken,Hummus,Tzatziki,Tomato + Cucumber,Pickled Onions,,Lemon Herb Tahini,Bowl,620.0,47,71,15,4,1810,14.5,5.0,In-Store,dine-in,2024-01-27 12:00:00,12,Saturday,Lunch,False
1038,C033,2024-01-27,13:45,VA - Arlington,Brown Rice,Harissa Honey Chicken,Harissa,,Corn,Feta,Pickled Onions,Garlic Dressing,Bowl,860.0,36,74,38,6,2010,14.75,4.0,In-Store,dine-in,2024-01-27 13:45:00,13,Saturday,Lunch,True
1039,C034,2024-01-28,12:15,DC - Capitol Hill,Pita,Braised Lamb,Crazy Feta,Tzatziki,Pickled Onions,Avocado,,Skhug,Pita,970.0,38,72,52,12,2380,15.5,2.0,In-Store,dine-in,2024-01-28 12:15:00,12,Sunday,Lunch,True
1040,C035,2024-01-28,18:45,DC - Logan Circle,Black Lentils,Grilled Chicken,Hummus,,Tomato + Cucumber,Persian Cucumber,,Lemon Herb Tahini,Bowl,560.0,48,55,14,17,1520,14.75,5.0,DoorDash,delivery,2024-01-28 18:45:00,18,Sunday,Dinner,False
1041,C036,2024-01-29,11:30,MD - Bethesda,SuperGreens,Grilled Steak,Harissa,Red Pepper Hummus,Feta,Corn,,Garlic Dressing,Bowl,600.0,40,22,36,7,1650,15.25,4.0,In-Store,dine-in,2024-01-29 11:30:00,11,Monday,Lunch,False
1042,C037,2024-01-29,12:45,VA - Arlington,Saffron Basmati Rice,Falafel,Hummus,Crazy Feta,Cabbage Slaw,Avocado,Pickled Onions,Green Goddess Ranch,Bowl,780.0,20,76,44,12,1720,14.25,3.0,In-Store,dine-in,2024-01-29 12:45:00,12,Monday,Lunch,False
1043,C038,2024-01-30,13:00,DC - Capitol Hill,Brown Rice,Braised Lamb,Tzatziki,,Persian Cucumber,Tomato + Cucumber,Broccoli,Skhug,Bowl,820.0,38,64,42,9,1960,16.0,4.0,In-Store,dine-in,2024-01-30 13:00:00,13,Tuesday,Lunch,False
1044,C039,2024-01-30,12:30,DC - Logan Circle,Black Lentils,Grilled Chicken,Hummus,Harissa,Tomato + Cucumber,Pickled Onions,,Lemon Herb Tahini,Bowl,547.0,48,55,15,17,1560,14.75,5.0,In-Store,dine-in,2024-01-30 12:30:00,12,Tuesday,Lunch,False
1045,C040,2024-01-31,19:00,MD - Bethesda,Pita,Harissa Honey Chicken,Harissa,Tzatziki,Corn,Feta,Pickled Onions,Garlic Dressing,Pita,980.0,40,85,50,8,2490,14.75,4.0,Uber Eats,delivery,2024-01-31 19:00:00,19,Wednesday,Dinner,True
